Indicator,Type
162.142.125.240,IPv4
43.130.57.239,IPv4
205.210.31.178,IPv4
205.210.31.98,IPv4
167.94.138.52,IPv4
43.129.36.145,IPv4
94.102.61.3,IPv4
31.4.230.182,IPv4
167.94.138.149,IPv4
167.94.146.23,IPv4
192.241.200.68,IPv4
162.216.150.78,IPv4
205.210.31.37,IPv4
205.210.31.28,IPv4
45.33.80.243,IPv4
193.163.125.62,IPv4
198.235.24.175,IPv4
104.131.128.16,IPv4
64.62.197.224,IPv4
167.248.133.140,IPv4
198.235.24.57,IPv4
66.240.236.109,IPv4
74.82.47.47,IPv4
167.94.146.71,IPv4
104.248.130.34,IPv4
198.235.24.180,IPv4
64.62.197.233,IPv4
107.170.255.9,IPv4
107.170.236.20,IPv4
192.241.195.48,IPv4
162.216.150.43,IPv4
193.57.40.49,IPv4
185.224.128.17,IPv4
71.6.134.233,IPv4
87.236.176.240,IPv4
162.216.150.197,IPv4
192.241.221.9,IPv4
193.32.162.190,IPv4
167.94.146.77,IPv4
205.210.31.13,IPv4
64.62.197.63,IPv4
45.79.104.47,IPv4
184.105.247.198,IPv4
165.22.60.26,IPv4
162.142.125.234,IPv4
167.248.133.164,IPv4
162.142.125.134,IPv4
35.203.210.141,IPv4
193.163.125.52,IPv4
128.1.248.26,IPv4
193.163.125.46,IPv4
162.243.149.17,IPv4
178.128.84.187,IPv4
162.216.149.72,IPv4
162.216.150.55,IPv4
167.248.133.157,IPv4
198.199.101.132,IPv4
192.241.232.27,IPv4
184.105.247.244,IPv4
170.187.163.133,IPv4
198.235.24.49,IPv4
35.203.211.51,IPv4
45.55.0.5,IPv4
162.216.149.140,IPv4
31.7.60.114,IPv4
43.153.169.80,IPv4
71.6.134.234,IPv4
198.235.24.128,IPv4
205.210.31.39,IPv4
89.248.165.154,IPv4
193.3.53.7,IPv4
45.147.250.208,IPv4
205.210.31.96,IPv4
95.214.55.244,IPv4
162.216.150.89,IPv4
185.165.190.17,IPv4
89.46.223.140,IPv4
162.142.125.14,IPv4
162.216.150.30,IPv4
192.241.200.36,IPv4
198.235.24.29,IPv4
162.142.125.143,IPv4
205.210.31.70,IPv4
79.124.62.82,IPv4
185.167.97.244,IPv4
162.243.130.21,IPv4
167.248.133.144,IPv4
35.203.211.152,IPv4
192.241.219.17,IPv4
205.210.31.183,IPv4
43.133.34.99,IPv4
89.248.165.51,IPv4
192.241.199.29,IPv4
170.106.115.55,IPv4
80.82.70.228,IPv4
192.241.229.19,IPv4
162.216.149.214,IPv4
205.210.31.251,IPv4
192.241.197.31,IPv4
92.204.128.155,IPv4
167.94.146.69,IPv4
194.26.29.37,IPv4
79.124.62.62,IPv4
205.210.31.181,IPv4
167.94.138.124,IPv4
34.67.136.168,IPv4
94.102.61.20,IPv4
192.155.90.118,IPv4
64.62.197.184,IPv4
36.156.22.4,IPv4
167.248.133.52,IPv4
118.123.105.86,IPv4
185.170.144.3,IPv4
137.184.185.50,IPv4
192.155.90.220,IPv4
194.165.16.73,IPv4
65.49.20.66,IPv4
162.142.125.225,IPv4
167.94.145.58,IPv4
64.62.197.44,IPv4
35.203.211.81,IPv4
198.235.24.231,IPv4
152.32.141.130,IPv4
162.142.125.90,IPv4
198.235.24.203,IPv4
107.170.233.4,IPv4
91.240.118.77,IPv4
167.94.138.132,IPv4
205.210.31.163,IPv4
162.142.125.92,IPv4
107.170.233.17,IPv4
198.235.24.58,IPv4
184.105.139.68,IPv4
167.94.145.95,IPv4
162.216.150.252,IPv4
45.79.181.251,IPv4
64.227.146.243,IPv4
162.243.131.15,IPv4
167.94.145.85,IPv4
35.203.210.127,IPv4
165.227.196.229,IPv4
172.104.11.51,IPv4
165.154.51.236,IPv4
205.214.74.6,IPv4
157.119.79.154,IPv4
165.154.118.188,IPv4
167.248.133.51,IPv4
104.236.128.6,IPv4
138.68.143.68,IPv4
64.62.197.27,IPv4
62.233.50.217,IPv4
184.105.139.70,IPv4
162.243.145.14,IPv4
198.235.24.88,IPv4
162.142.125.95,IPv4
205.210.31.226,IPv4
35.203.210.47,IPv4
92.63.197.110,IPv4
162.142.125.93,IPv4
205.210.31.42,IPv4
192.241.196.5,IPv4
192.241.225.17,IPv4
24.242.115.95,IPv4
198.199.97.57,IPv4
216.218.206.68,IPv4
162.216.150.77,IPv4
43.157.54.73,IPv4
205.210.31.239,IPv4
162.142.125.215,IPv4
162.216.150.67,IPv4
64.62.197.221,IPv4
205.210.31.206,IPv4
193.163.125.41,IPv4
142.44.215.54,IPv4
198.235.24.181,IPv4
167.248.133.132,IPv4
167.94.138.134,IPv4
185.142.236.34,IPv4
64.62.197.107,IPv4
35.203.210.153,IPv4
216.218.206.112,IPv4
89.248.165.35,IPv4
89.248.163.189,IPv4
193.32.162.189,IPv4
35.203.210.133,IPv4
194.26.29.86,IPv4
64.62.197.21,IPv4
167.248.133.131,IPv4
167.94.138.64,IPv4
79.124.58.130,IPv4
184.105.139.101,IPv4
64.62.197.156,IPv4
210.245.120.108,IPv4
198.235.24.140,IPv4
162.216.150.209,IPv4
185.142.236.36,IPv4
66.240.236.119,IPv4
205.210.31.172,IPv4
167.248.133.142,IPv4
162.216.150.12,IPv4
107.170.249.14,IPv4
192.241.235.19,IPv4
184.105.139.109,IPv4
162.216.149.89,IPv4
162.216.149.39,IPv4
210.245.120.117,IPv4
35.203.210.122,IPv4
198.235.24.197,IPv4
64.62.197.152,IPv4
184.105.247.247,IPv4
167.248.133.49,IPv4
205.210.31.79,IPv4
62.204.41.80,IPv4
205.210.31.41,IPv4
167.248.133.129,IPv4
205.210.31.92,IPv4
167.94.146.68,IPv4
68.183.93.52,IPv4
184.105.139.78,IPv4
159.203.192.4,IPv4
165.154.36.152,IPv4
205.210.31.55,IPv4
167.94.138.148,IPv4
162.142.125.85,IPv4
198.235.24.146,IPv4
35.203.211.120,IPv4
167.94.138.102,IPv4
94.102.61.4,IPv4
205.210.31.20,IPv4
162.216.150.8,IPv4
198.235.24.247,IPv4
205.210.31.207,IPv4
167.94.138.137,IPv4
64.62.197.71,IPv4
184.105.247.200,IPv4
8.219.76.192,IPv4
198.235.24.35,IPv4
184.105.247.236,IPv4
192.241.199.47,IPv4
207.90.244.2,IPv4
192.241.194.38,IPv4
162.216.150.71,IPv4
45.147.250.233,IPv4
205.210.31.170,IPv4
35.203.210.230,IPv4
205.210.31.89,IPv4
192.241.227.19,IPv4
162.216.149.222,IPv4
205.210.31.192,IPv4
167.248.133.153,IPv4
162.142.125.83,IPv4
167.248.133.135,IPv4
205.210.31.200,IPv4
162.243.145.26,IPv4
35.203.210.224,IPv4
43.133.11.82,IPv4
43.129.33.99,IPv4
198.235.24.151,IPv4
35.203.210.27,IPv4
192.241.223.18,IPv4
205.210.31.224,IPv4
162.216.150.112,IPv4
162.142.125.228,IPv4
134.209.103.181,IPv4
207.90.244.6,IPv4
162.142.125.242,IPv4
193.163.125.50,IPv4
192.241.217.22,IPv4
205.210.31.168,IPv4
162.216.149.31,IPv4
205.210.31.93,IPv4
162.216.150.114,IPv4
198.235.24.11,IPv4
45.168.176.34,IPv4
167.94.145.83,IPv4
35.203.211.223,IPv4
205.210.31.167,IPv4
205.210.31.51,IPv4
167.94.138.130,IPv4
64.62.197.14,IPv4
64.62.197.34,IPv4
192.241.201.45,IPv4
198.235.24.68,IPv4
167.248.133.160,IPv4
35.203.211.99,IPv4
35.203.211.109,IPv4
162.216.149.79,IPv4
184.105.139.95,IPv4
