Indicator,Type
http://194.180.48.59/ghostzx.exe,URL
http://198.23.156.244/DAN.exe,URL
http://194.180.48.59/obizx.exe,URL
http://194.180.48.59/wealthzx.exe,URL
http://107.172.130.135/show.exe,URL
http://194.180.48.59/governorzx.exe,URL
http://51.79.49.73/crc/C5.exe,URL
http://192.227.183.138/103/cleanmgrs.exe,URL
http://192.227.183.138/102/cleanmgrs.exe,URL
http://194.180.48.59/agodzx.exe,URL
https://firebasestorage.googleapis.com/v0/b/fir-8c14f.appspot.com/o/rump_vbs.txt?alt=media&amp;token=5c856fd2-ba6f-4f74-bfdf-bef0787c6cca,URL
http://45.88.66.43/bbvabbva.txt,URL
http://194.180.48.59/agodzx.doc,URL
http://103.171.1.87/ede/ventascry.exe,URL
http://185.246.222.101/ccs/pcz.txt,URL
194.180.48.59,IPv4
http://194.180.48.187/kmb.txt,URL
http://194.180.48.59/grammyzx.exe,URL
http://194.180.48.59/oceanzx.exe,URL
109.236.109.159,IPv4
http://194.180.48.59/damianozx.exe,URL
http://45.88.66.43/macityyyyy.txt,URL
http://171.22.30.164/pablozx.exe,URL
http://194.180.48.59/oceanzx.doc,URL
http://103.171.1.87/ede/dd.exe,URL
http://194.180.48.59/pmexzx.exe,URL
http://194.180.48.59/teambzx.exe,URL
http://185.246.222.101/ccs/vc.txt,URL
http://194.180.48.59/kakazx.doc,URL
http://194.180.48.59/kakazx.exe,URL
limmergarden.com,domain
http://194.180.48.59/smithempirezx.exe,URL
http://194.180.48.59/teambzx.doc,URL
http://198.46.132.133/grace.exe,URL
http://84.54.50.31/D/VLC.txt,URL
http://84.54.50.31/D/fara.txt,URL
https://firebasestorage.googleapis.com/v0/b/lisaza21-15605.appspot.com/o/dsc.txt?alt=media&amp;token=e1a74854-94f2-44a5-a0d4-29d8e17754ec,URL
http://34.101.154.50/agenttesla/OGQ5YTll.doc,URL
http://34.101.154.50/agenttesla/YzlhMGI2.doc,URL
http://34.101.154.50/agenttesla/OGQ5YTll.exe,URL
http://208.67.105.179/wealthzx.exe,URL
https://bitbucket.org/mounmeinlylo/rikirollin/downloads/black.pif,URL
https://firebasestorage.googleapis.com/v0/b/tttttttt-e4b70.appspot.com/o/new_rump_vb.net.txt?alt=media&amp;token=b27d42df-d877-4be0-ab6a-efe2fee3e2b3,URL
http://171.22.30.164/obizx.exe,URL
6ced4f98cd34cc2ea725273d566ea7b7,FileHash-MD5
35369894fad416d9b89df08dad0c0c1848e2bba5,FileHash-SHA1
