Indicator,Type
7a4c8e876af7d30206b851c01dbda734,FileHash-MD5
519f100ddc98cfb9aca3e13c0095bddeadf11c50397096953171d042ca376fbd,FileHash-SHA256
43.142.87.35,IPv4
211.159.158.117,IPv4
160.202.163.82,IPv4
31.184.198.38,IPv4
160.202.163.90,IPv4
209.208.4.62,IPv4
dedydns.ns01.us,hostname
iphone.vizvaz.com,hostname
area.wthelpdesk.com,hostname
eu.zzux.com,hostname
103.175.16.39,IPv4
5.8.95.174,IPv4
icbcqsz.com,domain
savmpet.com,domain
capstoneturbine.cechire.com,hostname
ameteksen.com,domain
CVE-2021-21551,CVE
6df9b712ff56009810c4000a0ad47e41b7a6183b69416251e060b5c80cd05785,FileHash-SHA256
175.178.151.29,IPv4
CVE-2021-39144,CVE
172.246.160.89,IPv4
myphpwebsite.itsaol.com,hostname
phptecinfohelp.itemdb.com,hostname
itunesupdate.itsaol.com,hostname
jimin.mymom.info,hostname
windowsupdate.x24hr.com,hostname
mofa.ns01.info,hostname
home.trickip.org,hostname
itunesmirror.itsaol.com,hostname
nezwq.ezua.com,hostname
windowsimages.itemdb.com,hostname
moscowstdsupdate.toythieves.com,hostname
na.americanunfinished.com,hostname
windowfile.itemdb.com,hostname
serv.justdied.com,hostname
eddo.qpoe.com,hostname
microsoftmusic.onedumb.com,hostname
additional.sexidude.com,hostname
rethem.almostmy.com,hostname
newsreport.justdied.com,hostname
ticket.serveuser.com,hostname
taipeifoodsite.ocry.com,hostname
microsoftstores.itemdb.com,hostname
appleimages.itemdb.com,hostname
itunesupdates.organiccrap.com,hostname
applemusic.itemdb.com,hostname
sha.25u.com,hostname
itunesdownload.jkub.com,hostname
itunesimages.itsaol.com,hostname
itunesmusic.jkub.com,hostname
outlook.otzo.com,hostname
referred.yourtrap.com,hostname
abc.wikaba.com,hostname
contractus.qpoe.com,hostname
referred.gr8domain.biz,hostname
back.jungleheart.com,hostname
file.zzux.com,hostname
seyesb.acmetoy.com,hostname
jpnxzshopdata.authorizeddns.org,hostname
key.zzux.com,hostname
disruptive.https443.net,hostname
microsoftimages.organiccrap.com,hostname
twtravelinfomation.toythieves.com,hostname
windowsupdate.serveusers.com,hostname
peopleinfodata.3-a.net,hostname
usa.itsaol.com,hostname
windowsupdates.ikwb.com,hostname
un.ddns.info,hostname
mason.vizvaz.com,hostname
lie.jetos.com,hostname
nposnewsinfo.qhigh.com,hostname
sha.ikwb.com,hostname
transfer.mrbasic.com,hostname
applemusic.wikaba.com,hostname
ticket.instanthq.com,hostname
lan.dynssl.com,hostname
microsoftmusic.mrbasic.com,hostname
program.acmetoy.com,hostname
well.itsaol.com,hostname
manager.jetos.com,hostname
itunesimages.itemdb.com,hostname
applejuice.itemdb.com,hostname
