Indicator,Type
af421b1f5a08499e130d24f448f6d79f7c76af2b,FileHash-SHA1
freetcp.com,domain
indoingwulearn.com,domain
211.62.228.138,IPv4
CVE-2021-26857,CVE
CVE-2021-26858,CVE
CVE-2021-27065,CVE
103.85.20.194,IPv4
137.220.176.215,IPv4
137.220.176.165,IPv4
free2015.longmusic.com,hostname
fdtg.dynamic-dns.net,hostname
freemusic.zzux.com,hostname
worktrs.wikaba.com,hostname
nubpubwizard.jetos.com,hostname
bluesky.jkub.com,hostname
vip.onedumb.com,hostname
lovehome.zzux.com,hostname
svyaztulaya.dynamic-dns.net,hostname
fackb00k2us.dynamic-dns.net,hostname
www.oseupdate.dns-dns.com,hostname
c5b2a65855215e9fb73cf5115196eb9e8f5c50b1,YARA
offices-update.com,domain
3d5d32a62f770608b6567ec5d18424c24c3f5798,FileHash-SHA1
www.yandex2unitedstated.dns05.com,hostname
lab.symantecsafe.org,hostname
77.83.159.15,IPv4
yandex2unitedstated.dns05.com,hostname
www.yandex2unitedstated.dynamic-dns.net,hostname
aa7b1d13a96f90bf539455f25ef138d5e09e27b7da6bf7f0c2e48821d98cf476,FileHash-SHA256
169c24f0ad3969fe99ff2bf205ead067222781a88d735378f41a9822c620a535,FileHash-SHA256
www.yandex2unitedstated.dns04.com,hostname
www.trendupdate.dns05.com,hostname
teamtonton.com,domain
laotranslations.com,domain
shuudans.com,domain
www.yandex2unitedstated.2waky.com,hostname
www.fackb00k2us.dynamic-dns.net,hostname
serviceonline.otzo.com,hostname
help.kavlabonline.com,hostname
yandex.pop-corps.com,hostname
yandex2unitedstated.dynamic-dns.net,hostname
developman.ocry.com,hostname
msdn.ezua.com,hostname
yandex.mrface.com,hostname
hotmail.pop-corps.com,hostname
www.yandex.mrface.com,hostname
www.g00gleru.wikaba.com,hostname
2e8eb362c0f51b92fec162c220a34c97bcacf2d54af09f5e37f0917a920a0b40,FileHash-SHA256
185.243.215.186,IPv4
mn.pop-corps.com,hostname
teamtontone.com,domain
