Indicator,Type
b'135.125.64.240',b'IPv4'
b'134.17.16.136',b'IPv4'
b'129.208.115.61',b'IPv4'
b'128.90.148.78',b'IPv4'
b'124.248.69.233',b'IPv4'
b'124.235.138.147',b'IPv4'
b'124.31.104.198',b'IPv4'
b'124.31.104.58',b'IPv4'
b'123.245.25.27',b'IPv4'
b'123.160.234.16',b'IPv4'
b'123.150.11.128',b'IPv4'
b'122.165.189.218',b'IPv4'
b'122.117.185.252',b'IPv4'
b'122.116.137.52',b'IPv4'
b'122.96.28.56',b'IPv4'
b'202.77.25.250',b'IPv4'
b'200.29.190.212',b'IPv4'
b'198.235.24.171',b'IPv4'
b'198.235.24.164',b'IPv4'
b'121.58.225.107',b'IPv4'
b'121.17.18.145',b'IPv4'
b'198.235.24.158',b'IPv4'
b'198.235.24.132',b'IPv4'
b'198.235.24.42',b'IPv4'
b'198.199.104.98',b'IPv4'
b'120.234.229.133',b'IPv4'
b'120.197.52.112',b'IPv4'
b'120.86.236.196',b'IPv4'
b'197.210.84.246',b'IPv4'
b'120.72.20.10',b'IPv4'
b'120.0.52.148',b'IPv4'
b'119.163.41.171',b'IPv4'
b'118.173.207.56',b'IPv4'
b'197.210.79.212',b'IPv4'
b'197.50.81.186',b'IPv4'
b'197.39.162.63',b'IPv4'
b'195.231.50.180',b'IPv4'
b'195.175.54.58',b'IPv4'
b'194.195.117.18',b'IPv4'
b'223.181.96.119',b'IPv4'
b'223.136.92.71',b'IPv4'
b'222.114.245.223',b'IPv4'
b'222.104.132.88',b'IPv4'
b'222.71.98.206',b'IPv4'
b'221.212.178.206',b'IPv4'
b'221.199.73.242',b'IPv4'
b'221.199.72.228',b'IPv4'
b'221.152.36.24',b'IPv4'
b'221.11.66.60',b'IPv4'
b'220.173.211.85',b'IPv4'
b'220.132.86.193',b'IPv4'
b'218.154.31.185',b'IPv4'
b'118.70.129.84',b'IPv4'
b'216.24.210.205',b'IPv4'
b'213.230.121.178',b'IPv4'
b'117.243.196.133',b'IPv4'
b'117.241.72.76',b'IPv4'
b'117.14.150.1',b'IPv4'
b'116.59.30.19',b'IPv4'
